,average,sd,score
val2017/000000082085.jpg,81.132,56.059,0.846
val2017/000000521509.jpg,83.442,45.966,0.803
val2017/000000482719.jpg,86.037,59.211,0.053
val2017/000000054605.jpg,82.249,65.49,0.588
val2017/000000219283.jpg,80.981,49.107,0.002
val2017/000000279730.jpg,82.982,46.408,0.541
val2017/000000449909.jpg,84.784,62.854,0.5
val2017/000000012670.jpg,79.641,52.485,0.824
val2017/000000302536.jpg,81.821,48.673,0.789
val2017/000000245026.jpg,81.952,58.865,0.768
val2017/000000064718.jpg,74.642,55.287,0.852
val2017/000000092177.jpg,80.879,71.179,0.0
val2017/000000479248.jpg,85.128,49.668,0.698
val2017/000000482978.jpg,87.384,61.642,0.039
val2017/000000069106.jpg,82.109,32.426,0.006
val2017/000000337055.jpg,81.808,40.61,0.812
val2017/000000169076.jpg,80.471,82.01,0.709
val2017/000000023359.jpg,76.115,44.374,0.867
val2017/000000005992.jpg,83.482,64.31,0.001
val2017/000000008021.jpg,79.554,56.359,0.846
val2017/000000054931.jpg,85.152,65.727,0.878
val2017/000000135410.jpg,80.334,70.271,0.761
val2017/000000083531.jpg,82.608,48.505,0.262
val2017/000000189213.jpg,83.523,62.066,0.018
val2017/000000057027.jpg,84.146,62.162,0.0
val2017/000000132544.jpg,83.039,66.404,0.825
val2017/000000536947.jpg,83.449,60.051,0.032
val2017/000000056344.jpg,83.541,70.22,0.003
val2017/000000438304.jpg,83.618,60.89,0.906
val2017/000000380913.jpg,83.471,66.384,0.843
val2017/000000041872.jpg,89.678,50.823,0.0
val2017/000000011699.jpg,82.063,62.578,0.867
val2017/000000179285.jpg,94.361,35.53,0.001
val2017/000000230450.jpg,84.735,62.469,0.27
val2017/000000114049.jpg,82.528,62.038,0.65
val2017/000000082821.jpg,88.153,56.257,0.76
val2017/000000523100.jpg,90.046,44.574,0.524
val2017/000000019786.jpg,83.606,50.656,0.655
val2017/000000379332.jpg,82.291,79.493,0.77
val2017/000000163314.jpg,82.383,46.577,0.837
val2017/000000488673.jpg,82.268,56.883,0.792
val2017/000000567886.jpg,79.057,69.828,0.341
val2017/000000206218.jpg,85.034,64.818,0.004
val2017/000000484415.jpg,81.862,48.801,0.363
val2017/000000039914.jpg,84.422,40.384,0.866
val2017/000000276921.jpg,81.936,59.864,0.0
val2017/000000127394.jpg,88.365,59.151,0.791
val2017/000000160012.jpg,91.152,72.754,0.595
val2017/000000372466.jpg,77.098,71.93,0.28
val2017/000000121497.jpg,83.743,63.322,0.669
val2017/000000555705.jpg,83.009,46.46,0.002
val2017/000000057725.jpg,83.031,69.104,0.043
val2017/000000350054.jpg,84.978,62.46,0.008
val2017/000000034139.jpg,83.899,65.867,0.852
val2017/000000057150.jpg,82.434,56.927,0.858
val2017/000000080949.jpg,84.176,57.169,0.006
val2017/000000434459.jpg,81.393,68.85,0.777
val2017/000000007386.jpg,85.847,63.332,0.006
val2017/000000203629.jpg,85.079,66.17,0.844
val2017/000000231508.jpg,90.638,46.785,0.829
val2017/000000057244.jpg,85.101,80.884,0.001
val2017/000000565778.jpg,86.409,54.779,0.751
val2017/000000184321.jpg,84.931,59.062,0.003
val2017/000000508312.jpg,87.205,59.823,0.001
val2017/000000389315.jpg,84.829,81.25,0.014
val2017/000000072281.jpg,84.222,50.129,0.894
val2017/000000073946.jpg,83.955,60.829,0.791
val2017/000000179392.jpg,85.158,89.206,0.005
val2017/000000016249.jpg,83.61,66.401,0.809
val2017/000000521405.jpg,88.799,47.707,0.002
val2017/000000229311.jpg,85.179,61.418,0.012
val2017/000000449198.jpg,87.826,56.941,0.1
val2017/000000154718.jpg,84.79,63.475,0.369
val2017/000000042888.jpg,91.273,57.765,0.001
val2017/000000279278.jpg,83.067,47.074,0.783
val2017/000000297085.jpg,85.434,58.991,0.277
val2017/000000222299.jpg,85.607,48.664,0.022
val2017/000000350019.jpg,87.09,63.431,0.753
val2017/000000083540.jpg,81.919,46.203,0.857
val2017/000000136600.jpg,85.0,70.506,0.463
val2017/000000515828.jpg,97.149,31.09,0.835
val2017/000000052996.jpg,85.203,54.346,0.863
val2017/000000180101.jpg,86.978,52.721,0.816
val2017/000000351810.jpg,83.653,57.761,0.589
val2017/000000293794.jpg,87.264,69.938,0.77
val2017/000000002153.jpg,88.281,29.939,0.84
val2017/000000170474.jpg,87.398,58.536,0.86
val2017/000000211042.jpg,88.823,41.834,0.006
val2017/000000213830.jpg,85.726,41.362,0.893
val2017/000000417876.jpg,89.161,47.773,0.032
val2017/000000070774.jpg,83.882,80.021,0.022
val2017/000000343466.jpg,86.559,55.831,0.0
val2017/000000516677.jpg,83.562,57.709,0.874
val2017/000000164637.jpg,88.31,34.656,0.002
val2017/000000348488.jpg,87.826,74.96,0.001
val2017/000000147223.jpg,84.591,60.047,0.745
val2017/000000407943.jpg,84.009,80.393,0.581
val2017/000000363875.jpg,85.614,66.105,0.745
val2017/000000460333.jpg,89.419,61.535,0.901
val2017/000000292024.jpg,91.437,50.907,0.681
val2017/000000171757.jpg,88.538,43.327,0.715
val2017/000000564280.jpg,82.45,68.512,0.001
val2017/000000442306.jpg,88.512,70.721,0.907
val2017/000000180383.jpg,87.607,41.3,0.698
val2017/000000297396.jpg,90.497,73.361,0.021
val2017/000000142620.jpg,85.035,59.286,0.759
val2017/000000275198.jpg,87.199,61.587,0.809
val2017/000000457848.jpg,81.39,44.504,0.726
val2017/000000039951.jpg,86.616,51.835,0.778
val2017/000000497344.jpg,83.562,71.285,0.719
val2017/000000035682.jpg,90.631,75.412,0.845
val2017/000000261535.jpg,85.156,52.686,0.863
val2017/000000158660.jpg,86.875,63.986,0.524
val2017/000000186296.jpg,87.724,45.428,0.028
val2017/000000031296.jpg,85.637,56.192,0.835
val2017/000000535578.jpg,95.538,42.382,0.037
val2017/000000122672.jpg,85.691,66.302,0.748
val2017/000000439773.jpg,87.45,45.023,0.801
val2017/000000137576.jpg,86.531,54.453,0.013
val2017/000000548246.jpg,87.438,61.162,0.79
val2017/000000257624.jpg,89.535,53.596,0.918
val2017/000000312340.jpg,86.249,37.771,0.001
val2017/000000530854.jpg,76.306,43.227,0.225
val2017/000000323355.jpg,85.643,52.673,0.835
val2017/000000578489.jpg,84.423,57.82,0.865
val2017/000000465129.jpg,86.94,58.449,0.731
val2017/000000136033.jpg,92.748,58.581,0.001
val2017/000000011760.jpg,86.602,50.455,0.001
val2017/000000364297.jpg,86.507,63.984,0.002
val2017/000000155443.jpg,83.993,65.412,0.143
val2017/000000029675.jpg,92.983,78.405,0.001
val2017/000000470924.jpg,85.658,78.82,0.778
val2017/000000479155.jpg,87.649,72.172,0.742
val2017/000000170116.jpg,86.154,59.065,0.609
val2017/000000379842.jpg,86.841,44.87,0.0
val2017/000000426166.jpg,85.269,51.231,0.0
val2017/000000458790.jpg,85.415,91.647,0.0
val2017/000000249129.jpg,95.54,56.888,0.263
val2017/000000544519.jpg,86.841,62.844,0.743
val2017/000000512476.jpg,82.826,66.129,0.251
val2017/000000165039.jpg,87.428,73.127,0.708
val2017/000000312192.jpg,89.28,44.808,0.4
val2017/000000523807.jpg,91.242,62.526,0.037
val2017/000000390902.jpg,79.942,37.978,0.786
val2017/000000082846.jpg,90.753,55.992,0.154
val2017/000000544811.jpg,81.991,71.334,0.005
val2017/000000117525.jpg,88.41,54.593,0.684
val2017/000000578093.jpg,86.015,61.509,0.254
val2017/000000142324.jpg,85.071,47.101,0.881
val2017/000000122962.jpg,88.845,58.567,0.822
val2017/000000272136.jpg,87.64,56.838,0.538
val2017/000000158956.jpg,86.071,53.377,0.822
val2017/000000281414.jpg,87.909,54.395,0.907
val2017/000000477441.jpg,88.357,63.069,0.455
val2017/000000464522.jpg,89.211,59.565,0.246
val2017/000000301135.jpg,88.831,76.067,0.802
val2017/000000394510.jpg,86.433,41.86,0.919
val2017/000000425226.jpg,86.096,49.602,0.682
val2017/000000060899.jpg,86.658,70.814,0.905
val2017/000000060932.jpg,85.588,72.932,0.856
val2017/000000368294.jpg,88.393,61.069,0.775
val2017/000000096549.jpg,82.789,41.017,0.003
val2017/000000530162.jpg,89.816,61.49,0.804
val2017/000000017182.jpg,92.19,55.149,0.003
val2017/000000338428.jpg,92.102,70.4,0.021
val2017/000000361268.jpg,86.375,57.009,0.001
val2017/000000192607.jpg,89.54,68.668,0.904
val2017/000000069224.jpg,89.289,66.656,0.658
val2017/000000424162.jpg,86.254,68.493,0.859
val2017/000000048153.jpg,79.128,52.183,0.311
val2017/000000350679.jpg,89.868,71.295,0.811
val2017/000000261706.jpg,86.91,67.807,0.085
val2017/000000520832.jpg,86.317,78.803,0.761
val2017/000000388927.jpg,87.225,76.108,0.539
val2017/000000238013.jpg,86.42,55.693,0.868
val2017/000000329614.jpg,87.087,70.549,0.555
val2017/000000336628.jpg,86.893,65.972,0.809
val2017/000000271457.jpg,85.976,57.954,0.016
val2017/000000081394.jpg,88.242,59.852,0.562
val2017/000000572956.jpg,85.252,57.112,0.111
val2017/000000540466.jpg,87.928,53.059,0.334
val2017/000000101022.jpg,89.333,77.303,0.009
val2017/000000060102.jpg,86.322,57.365,0.824
val2017/000000131273.jpg,90.296,51.246,0.003
val2017/000000189752.jpg,88.656,62.511,0.629
val2017/000000188592.jpg,87.709,58.88,0.829
val2017/000000427160.jpg,92.264,74.838,0.897
val2017/000000341094.jpg,86.78,68.53,0.61
val2017/000000453001.jpg,91.199,70.386,0.888
val2017/000000489764.jpg,88.68,59.122,0.676
val2017/000000578792.jpg,86.098,47.987,0.603
val2017/000000292415.jpg,89.672,84.045,0.575
val2017/000000093353.jpg,95.149,68.236,0.224
val2017/000000165681.jpg,85.961,65.745,0.778
val2017/000000146825.jpg,86.739,57.481,0.759
val2017/000000563470.jpg,88.406,54.943,0.758
val2017/000000230008.jpg,89.452,63.469,0.736
val2017/000000176799.jpg,87.925,67.01,0.859
val2017/000000325527.jpg,87.679,63.335,0.0
val2017/000000162366.jpg,87.879,80.142,0.051
val2017/000000322864.jpg,88.491,50.112,0.611
val2017/000000142238.jpg,97.964,63.798,0.897
val2017/000000347930.jpg,98.676,40.046,0.001
val2017/000000464476.jpg,86.803,72.471,0.779
val2017/000000398438.jpg,93.109,58.895,0.422
val2017/000000144984.jpg,90.363,61.751,0.8
val2017/000000535156.jpg,93.513,46.118,0.004
val2017/000000257566.jpg,89.93,54.085,0.757
val2017/000000408696.jpg,88.965,47.891,0.883
val2017/000000331317.jpg,88.338,74.708,0.001
val2017/000000044279.jpg,89.423,68.74,0.817
val2017/000000323828.jpg,87.555,57.461,0.061
val2017/000000395388.jpg,94.505,60.165,0.868
val2017/000000228942.jpg,95.016,76.771,0.589
val2017/000000013659.jpg,89.878,62.925,0.77
val2017/000000363207.jpg,91.098,53.813,0.754
val2017/000000048504.jpg,89.83,47.103,0.629
val2017/000000508482.jpg,88.802,56.832,0.001
val2017/000000295138.jpg,87.554,72.551,0.832
val2017/000000460683.jpg,89.072,60.028,0.711
val2017/000000028285.jpg,83.724,40.571,0.006
val2017/000000553669.jpg,92.448,62.715,0.673
val2017/000000527220.jpg,83.488,69.328,0.002
val2017/000000186449.jpg,87.631,64.657,0.819
val2017/000000480275.jpg,91.169,71.566,0.603
val2017/000000070739.jpg,87.424,66.577,0.764
val2017/000000080413.jpg,87.249,75.216,0.003
val2017/000000485844.jpg,85.996,61.357,0.674
val2017/000000214539.jpg,93.689,68.876,0.892
val2017/000000346703.jpg,92.591,70.716,0.78
val2017/000000243344.jpg,95.949,51.531,0.004
val2017/000000463842.jpg,89.871,82.897,0.274
val2017/000000338986.jpg,85.08,42.681,0.002
val2017/000000358195.jpg,90.086,44.576,0.919
val2017/000000418959.jpg,88.516,48.154,0.0
val2017/000000469067.jpg,87.56,60.332,0.746
val2017/000000131138.jpg,89.17,65.419,0.4
val2017/000000422886.jpg,90.89,74.271,0.78
val2017/000000181753.jpg,91.172,56.315,0.393
val2017/000000410496.jpg,92.327,45.325,0.872
val2017/000000423617.jpg,90.056,61.171,0.71
val2017/000000035963.jpg,92.716,57.699,0.007
val2017/000000309467.jpg,78.459,49.389,0.857
val2017/000000051976.jpg,79.25,33.699,0.728
val2017/000000473406.jpg,89.27,58.65,0.889
val2017/000000124277.jpg,88.129,63.79,0.153
val2017/000000344611.jpg,92.097,57.863,0.011
val2017/000000323751.jpg,94.985,66.527,0.862
val2017/000000546717.jpg,92.366,58.248,0.748
val2017/000000286182.jpg,99.785,71.107,0.788
val2017/000000404922.jpg,90.056,40.589,0.837
val2017/000000532855.jpg,90.425,54.295,0.483
val2017/000000152686.jpg,90.343,49.884,0.962
val2017/000000536038.jpg,89.713,65.537,0.578
val2017/000000340175.jpg,90.87,50.121,0.075
val2017/000000184611.jpg,88.268,70.949,0.777
val2017/000000195842.jpg,94.41,57.406,0.82
val2017/000000011197.jpg,89.686,60.034,0.853
val2017/000000168337.jpg,88.884,40.28,0.876
val2017/000000404678.jpg,88.938,61.569,0.745
val2017/000000520301.jpg,91.294,60.765,0.001
val2017/000000537991.jpg,89.0,57.496,0.843
val2017/000000014473.jpg,92.789,47.301,0.766
val2017/000000530457.jpg,91.788,60.615,0.001
val2017/000000433243.jpg,95.592,70.433,0.012
val2017/000000352684.jpg,91.283,39.141,0.883
val2017/000000221213.jpg,91.195,58.507,0.001
val2017/000000438774.jpg,93.525,59.58,0.79
val2017/000000360325.jpg,90.499,69.168,0.052
val2017/000000236721.jpg,93.031,63.015,0.019
val2017/000000025228.jpg,89.584,59.628,0.728
val2017/000000574315.jpg,89.812,65.461,0.395
val2017/000000084270.jpg,89.396,58.426,0.81
val2017/000000193926.jpg,90.308,63.89,0.291
val2017/000000512648.jpg,96.804,59.308,0.022
val2017/000000385029.jpg,96.622,39.966,0.54
val2017/000000028809.jpg,89.975,60.323,0.185
val2017/000000427997.jpg,89.584,28.114,0.811
val2017/000000392933.jpg,99.831,29.07,0.0
val2017/000000502732.jpg,91.906,72.872,0.0
val2017/000000280930.jpg,90.855,74.162,0.857
val2017/000000204186.jpg,97.168,56.559,0.806
val2017/000000494863.jpg,90.701,58.761,0.008
val2017/000000239773.jpg,100.481,55.567,0.771
val2017/000000484029.jpg,87.068,51.551,0.032
val2017/000000334309.jpg,91.884,61.218,0.752
val2017/000000532530.jpg,89.243,68.022,0.516
val2017/000000458702.jpg,89.688,61.631,0.001
val2017/000000571598.jpg,91.869,73.162,0.728
val2017/000000395180.jpg,89.827,58.173,0.893
val2017/000000018491.jpg,94.505,39.474,0.88
val2017/000000332901.jpg,91.829,82.38,0.637
val2017/000000563267.jpg,98.416,60.415,0.843
val2017/000000089648.jpg,91.024,61.709,0.741
val2017/000000292236.jpg,83.717,53.424,0.848
val2017/000000011051.jpg,93.332,71.342,0.867
val2017/000000270883.jpg,91.258,65.381,0.871
val2017/000000046872.jpg,92.955,66.796,0.885
val2017/000000329542.jpg,87.862,76.567,0.247
val2017/000000579070.jpg,90.839,62.368,0.823
val2017/000000481404.jpg,92.173,62.633,0.0
val2017/000000115118.jpg,91.093,53.814,0.118
val2017/000000423123.jpg,89.544,61.311,0.719
val2017/000000345469.jpg,97.819,65.46,0.132
val2017/000000345397.jpg,93.902,66.782,0.781
val2017/000000128748.jpg,94.516,58.619,0.878
val2017/000000253433.jpg,88.242,68.835,0.002
val2017/000000096825.jpg,89.259,80.029,0.873
val2017/000000195045.jpg,93.826,61.539,0.003
val2017/000000033759.jpg,98.017,73.0,0.891
val2017/000000445722.jpg,93.833,76.137,0.67
val2017/000000299609.jpg,92.994,60.57,0.001
val2017/000000314541.jpg,109.241,50.624,0.0
val2017/000000565853.jpg,91.985,52.258,0.827
val2017/000000161820.jpg,96.313,39.499,0.016
val2017/000000378284.jpg,96.969,47.271,0.589
val2017/000000199236.jpg,97.134,76.678,0.835
val2017/000000288584.jpg,91.954,59.609,0.914
val2017/000000371472.jpg,98.015,65.49,0.156
val2017/000000560266.jpg,91.854,48.027,0.068
val2017/000000253695.jpg,100.731,56.001,0.739
val2017/000000110884.jpg,96.3,87.086,0.28
val2017/000000253002.jpg,85.73,65.298,0.246
val2017/000000359833.jpg,92.128,67.237,0.542
val2017/000000050380.jpg,91.753,67.513,0.877
val2017/000000338191.jpg,93.131,65.115,0.002
val2017/000000290293.jpg,99.944,69.352,0.741
val2017/000000025424.jpg,112.581,43.445,0.642
val2017/000000300913.jpg,97.492,59.565,0.01
val2017/000000311303.jpg,91.507,60.839,0.358
val2017/000000182611.jpg,91.138,53.923,0.723
val2017/000000186637.jpg,94.243,63.0,0.003
val2017/000000054592.jpg,87.645,63.356,0.622
val2017/000000106048.jpg,89.708,64.996,0.003
val2017/000000207306.jpg,91.026,59.83,0.695
val2017/000000429281.jpg,100.11,74.003,0.063
val2017/000000043816.jpg,97.083,49.367,0.886
val2017/000000126110.jpg,94.051,33.167,0.415
val2017/000000311928.jpg,92.909,50.422,0.756
val2017/000000465549.jpg,103.733,55.215,0.873
val2017/000000085157.jpg,88.683,66.092,0.78
val2017/000000146667.jpg,91.333,74.736,0.869
val2017/000000451090.jpg,90.308,58.447,0.025
val2017/000000392818.jpg,90.223,71.649,0.144
val2017/000000368900.jpg,93.086,57.974,0.018
val2017/000000427338.jpg,91.434,58.121,0.634
val2017/000000079229.jpg,100.604,25.268,0.819
val2017/000000060886.jpg,97.457,40.266,0.864
val2017/000000224200.jpg,97.123,55.386,0.001
val2017/000000294831.jpg,94.992,51.942,0.3
val2017/000000471991.jpg,93.191,62.572,0.032
val2017/000000369442.jpg,95.718,57.475,0.866
val2017/000000398905.jpg,90.085,74.949,0.837
val2017/000000170191.jpg,92.621,61.298,0.89
val2017/000000549220.jpg,91.209,69.652,0.603
val2017/000000125778.jpg,93.612,69.864,0.015
val2017/000000261097.jpg,91.331,62.159,0.908
val2017/000000323571.jpg,89.472,75.236,0.269
val2017/000000210502.jpg,90.34,76.887,0.0
val2017/000000214224.jpg,96.53,41.826,0.533
val2017/000000391140.jpg,92.215,55.461,0.854
val2017/000000335081.jpg,98.647,64.598,0.306
val2017/000000006040.jpg,91.278,66.177,0.529
val2017/000000444142.jpg,92.975,72.956,0.901
val2017/000000270908.jpg,93.404,44.518,0.721
val2017/000000520871.jpg,92.174,62.301,0.003
val2017/000000006471.jpg,92.504,63.675,0.883
val2017/000000520659.jpg,94.811,64.485,0.797
val2017/000000244592.jpg,90.866,73.284,0.002
val2017/000000568213.jpg,103.342,39.274,0.924
val2017/000000161925.jpg,92.828,70.174,0.79
val2017/000000210273.jpg,91.973,68.348,0.735
val2017/000000511647.jpg,83.637,38.583,0.489
val2017/000000405970.jpg,93.992,57.674,0.01
val2017/000000485027.jpg,99.274,32.917,0.938
val2017/000000276018.jpg,93.158,66.137,0.845
val2017/000000248752.jpg,96.147,38.082,0.735
val2017/000000130579.jpg,104.159,41.702,0.892
val2017/000000412362.jpg,93.29,67.995,0.85
val2017/000000125806.jpg,92.832,74.307,0.001
val2017/000000342128.jpg,94.864,58.294,0.882
val2017/000000252776.jpg,93.38,63.919,0.809
val2017/000000301981.jpg,93.416,71.52,0.005
val2017/000000509735.jpg,98.105,36.592,0.001
val2017/000000260106.jpg,97.244,56.749,0.836
val2017/000000405972.jpg,96.193,65.766,0.002
val2017/000000094185.jpg,92.18,67.508,0.783
val2017/000000421455.jpg,91.396,85.703,0.286
val2017/000000504074.jpg,93.93,82.366,0.812
val2017/000000537355.jpg,97.367,57.798,0.015
val2017/000000572620.jpg,93.437,66.835,0.898
val2017/000000393569.jpg,93.564,58.525,0.6
val2017/000000133418.jpg,96.739,33.307,0.726
val2017/000000521956.jpg,84.696,58.599,0.833
val2017/000000256195.jpg,92.494,65.093,0.165
val2017/000000186873.jpg,89.73,58.148,0.579
val2017/000000468577.jpg,93.491,65.804,0.759
val2017/000000042178.jpg,98.46,44.281,0.003
val2017/000000095843.jpg,93.114,74.976,0.001
val2017/000000351530.jpg,96.338,93.221,0.703
val2017/000000078823.jpg,89.127,45.483,0.001
val2017/000000283520.jpg,95.983,47.241,0.93
val2017/000000500716.jpg,91.151,48.409,0.554
val2017/000000063602.jpg,102.09,52.623,0.061
val2017/000000336232.jpg,94.712,52.981,0.751
val2017/000000219440.jpg,92.634,75.464,0.002
val2017/000000367082.jpg,93.722,76.803,0.004
val2017/000000289992.jpg,93.894,22.221,0.001
val2017/000000112997.jpg,93.234,66.782,0.554
val2017/000000058539.jpg,91.305,75.776,0.766
val2017/000000191761.jpg,98.423,63.537,0.001
val2017/000000315492.jpg,96.916,74.241,0.484
val2017/000000172877.jpg,102.59,67.625,0.839
val2017/000000551804.jpg,97.833,27.718,0.874
val2017/000000368961.jpg,93.402,96.805,0.609
val2017/000000184324.jpg,93.157,65.628,0.848
val2017/000000506310.jpg,99.738,68.308,0.778
val2017/000000572517.jpg,97.334,48.387,0.014
val2017/000000458109.jpg,92.536,72.853,0.609
val2017/000000455597.jpg,92.978,62.368,0.6
val2017/000000506707.jpg,96.441,51.646,0.899
val2017/000000104455.jpg,95.954,70.721,0.009
val2017/000000506933.jpg,101.943,56.164,0.732
val2017/000000156643.jpg,92.748,59.854,0.863
val2017/000000425221.jpg,93.473,98.768,0.606
val2017/000000210230.jpg,89.866,83.361,0.757
val2017/000000570664.jpg,92.668,53.15,0.498
val2017/000000097022.jpg,103.432,45.18,0.021
val2017/000000477288.jpg,94.561,69.721,0.862
val2017/000000325347.jpg,89.151,37.008,0.826
val2017/000000227399.jpg,93.483,61.786,0.879
val2017/000000181303.jpg,100.566,59.35,0.852
val2017/000000085089.jpg,92.727,85.7,0.39
val2017/000000424349.jpg,96.435,72.06,0.679
val2017/000000328286.jpg,93.981,58.677,0.008
val2017/000000124659.jpg,98.654,67.299,0.186
val2017/000000356248.jpg,92.93,72.574,0.74
val2017/000000040036.jpg,98.476,63.434,0.809
val2017/000000146363.jpg,93.544,64.164,0.128
val2017/000000483531.jpg,93.044,57.625,0.001
val2017/000000151962.jpg,104.344,81.725,0.006
val2017/000000085772.jpg,93.86,39.991,0.859
val2017/000000005193.jpg,96.43,49.237,0.81
val2017/000000341973.jpg,97.59,81.323,0.709
val2017/000000245102.jpg,94.735,62.391,0.0
val2017/000000404484.jpg,94.71,67.898,0.67
val2017/000000491008.jpg,94.192,53.763,0.824
val2017/000000567640.jpg,103.637,50.898,0.911
val2017/000000455937.jpg,94.494,70.974,0.793
val2017/000000530061.jpg,92.787,55.132,0.7
val2017/000000344268.jpg,91.298,84.777,0.675
val2017/000000076547.jpg,93.46,68.567,0.783
val2017/000000109118.jpg,94.0,65.853,0.899
val2017/000000472298.jpg,96.919,53.651,0.773
val2017/000000243204.jpg,93.7,53.015,0.514
val2017/000000309391.jpg,95.791,51.809,0.827
val2017/000000282298.jpg,98.548,58.379,0.89
val2017/000000494634.jpg,102.356,88.734,0.018
val2017/000000367195.jpg,94.427,64.222,0.293
val2017/000000198805.jpg,96.96,60.559,0.158
val2017/000000072852.jpg,93.995,57.575,0.784
val2017/000000256518.jpg,96.92,67.099,0.01
val2017/000000214869.jpg,100.139,69.039,0.268
val2017/000000361586.jpg,92.733,80.553,0.835
val2017/000000024021.jpg,94.144,64.945,0.741
val2017/000000402774.jpg,95.938,38.243,0.731
val2017/000000283268.jpg,94.916,68.098,0.601
val2017/000000187585.jpg,92.403,64.609,0.74
val2017/000000268375.jpg,96.818,58.325,0.003
val2017/000000234779.jpg,98.813,53.658,0.001
val2017/000000267537.jpg,96.633,66.973,0.845
val2017/000000314251.jpg,96.543,52.509,0.767
val2017/000000500423.jpg,95.964,50.757,0.001
val2017/000000151857.jpg,94.371,82.712,0.017
val2017/000000162415.jpg,97.258,63.677,0.777
val2017/000000344059.jpg,97.474,65.432,0.001
val2017/000000031093.jpg,91.194,28.174,0.85
val2017/000000027186.jpg,95.101,60.27,0.79
val2017/000000258793.jpg,94.565,90.042,0.639
val2017/000000100723.jpg,92.913,75.899,0.848
val2017/000000035279.jpg,97.41,89.231,0.661
val2017/000000224337.jpg,94.427,60.907,0.805
val2017/000000014439.jpg,113.924,41.551,0.89
val2017/000000055167.jpg,97.549,48.333,0.667
val2017/000000357459.jpg,103.703,54.119,0.064
val2017/000000239717.jpg,90.92,58.216,0.757
val2017/000000534605.jpg,94.532,68.52,0.824
val2017/000000218997.jpg,95.412,59.76,0.853
val2017/000000488592.jpg,96.245,69.569,0.802
val2017/000000058350.jpg,100.1,56.143,0.74
val2017/000000017178.jpg,96.769,62.692,0.008
val2017/000000288042.jpg,97.159,69.171,0.881
val2017/000000383921.jpg,100.043,60.152,0.0
val2017/000000151820.jpg,95.642,89.214,0.778
val2017/000000259571.jpg,97.164,54.938,0.622
val2017/000000484893.jpg,95.323,73.449,0.617
val2017/000000303305.jpg,92.37,72.948,0.309
val2017/000000473118.jpg,95.904,62.355,0.813
val2017/000000240250.jpg,99.407,90.6,0.826
val2017/000000525083.jpg,105.775,52.332,0.023
val2017/000000527427.jpg,96.866,69.231,0.833
val2017/000000563882.jpg,100.001,71.89,0.55
val2017/000000359135.jpg,98.285,60.264,0.001
val2017/000000164115.jpg,92.787,53.214,0.034
val2017/000000152214.jpg,95.508,49.195,0.762
val2017/000000149406.jpg,97.755,51.112,0.004
val2017/000000003934.jpg,95.685,48.546,0.761
val2017/000000359219.jpg,96.517,47.102,0.006
val2017/000000549674.jpg,104.117,70.068,0.0
val2017/000000257896.jpg,97.123,78.22,0.774
val2017/000000416343.jpg,96.253,59.525,0.75
val2017/000000356094.jpg,106.128,72.5,0.886
val2017/000000127530.jpg,99.427,58.905,0.837
val2017/000000441442.jpg,101.517,46.793,0.844
val2017/000000199771.jpg,97.328,83.756,0.74
val2017/000000376093.jpg,97.677,55.238,0.846
val2017/000000273711.jpg,97.594,60.51,0.497
val2017/000000121744.jpg,94.309,63.71,0.814
val2017/000000417632.jpg,99.52,71.983,0.812
val2017/000000356387.jpg,94.63,81.791,0.805
val2017/000000260470.jpg,98.59,69.614,0.72
val2017/000000029187.jpg,98.494,49.756,0.616
val2017/000000423506.jpg,97.716,45.502,0.64
val2017/000000013546.jpg,98.399,62.383,0.904
val2017/000000309484.jpg,97.327,56.508,0.347
val2017/000000256916.jpg,99.832,54.476,0.023
val2017/000000497599.jpg,98.737,63.758,0.763
val2017/000000026926.jpg,97.684,64.888,0.0
val2017/000000511384.jpg,96.147,34.595,0.878
val2017/000000198641.jpg,98.787,75.045,0.002
val2017/000000429109.jpg,96.743,57.861,0.72
val2017/000000260261.jpg,97.872,74.101,0.84
val2017/000000465180.jpg,99.204,43.458,0.825
val2017/000000132587.jpg,95.685,74.396,0.864
val2017/000000001675.jpg,96.169,80.872,0.001
val2017/000000148719.jpg,98.142,52.443,0.557
val2017/000000302030.jpg,97.339,63.908,0.239
val2017/000000123213.jpg,100.95,43.179,0.924
val2017/000000161128.jpg,92.822,66.498,0.454
val2017/000000453040.jpg,99.613,58.054,0.204
val2017/000000365095.jpg,95.788,31.57,0.784
val2017/000000405306.jpg,88.378,52.034,0.011
val2017/000000437205.jpg,93.014,65.624,0.731
val2017/000000237517.jpg,96.795,70.79,0.0
val2017/000000498747.jpg,100.62,63.094,0.706
val2017/000000369541.jpg,101.305,65.132,0.469
val2017/000000177383.jpg,98.475,64.597,0.148
val2017/000000150417.jpg,96.61,69.847,0.847
val2017/000000436883.jpg,97.834,52.505,0.821
val2017/000000311394.jpg,96.947,57.761,0.832
val2017/000000101884.jpg,95.961,55.408,0.029
val2017/000000180011.jpg,96.358,65.336,0.545
val2017/000000393115.jpg,96.516,46.881,0.483
val2017/000000138979.jpg,95.944,71.651,0.876
val2017/000000294350.jpg,98.931,79.23,0.707
val2017/000000508370.jpg,98.297,62.67,0.844
val2017/000000086483.jpg,96.993,68.348,0.068
val2017/000000119445.jpg,99.757,66.19,0.831
val2017/000000433774.jpg,96.1,76.09,0.043
